,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
456,mazagao,100,BR,1639786621,98,-6.6603,-69.8736,297.08,0.32
457,mazagao,20,NE,1639786621,29,18.6853,12.9164,288.41,5.86
458,mazagao,11,MU,1639786436,76,-20.4081,57.7,297.18,2.46
459,mazagao,100,JP,1639786623,83,42.9744,140.5089,266.27,6.22
460,mazagao,67,PF,1639786684,67,-17.7333,-149.15,304.16,6.12
461,mazagao,100,WS,1639786684,75,-13.8745,-171.5986,302.03,5.99
462,mazagao,1,US,1639786510,33,39.9523,-75.1638,284.48,1.79
463,mazagao,27,AU,1639786686,63,-31.4333,152.9167,301.13,5.51
464,mazagao,79,AU,1639786687,68,-28.8667,153.5667,301.25,2.34
465,mazagao,94,RU,1639786688,99,59.7775,30.8181,272.18,1.25
466,mazagao,20,JP,1639786689,70,34.7333,135.5833,278.18,3.6
467,mazagao,75,NO,1639786689,100,62.5833,6.1333,282.78,9.77
468,mazagao,99,AO,1639786690,97,-12.15,17.2833,288.36,1.54
469,mazagao,100,RU,1639786691,80,59.3833,143.3,252.45,5.78
470,mazagao,75,US,1639786692,43,38.8451,-76.875,287.24,3.6
471,mazagao,75,CA,1639786693,76,58.5169,-117.136,246.21,2.57
472,mazagao,22,NG,1639786694,32,10.3744,10.7288,291.31,3.79
473,mazagao,16,UY,1639786695,90,-34.4833,-54.3333,287.91,2.93
474,mazagao,65,SO,1639786696,75,9.4942,50.8122,297.83,7.53
475,mazagao,75,BR,1639786696,74,-8.0089,-34.8553,301,2.57
476,mazagao,58,NC,1639786697,99,-22.2763,166.4572,301.14,7.95
477,mazagao,40,US,1639786699,59,39.608,-119.2518,277.63,0.45
478,mazagao,94,RU,1639786699,97,56.801,59.9303,266.6,1.44
479,mazagao,90,US,1639786644,51,41.6611,-91.5302,276.9,4.12
480,mazagao,1,CN,1639786700,53,29.2947,117.2079,275.72,1.49
481,mazagao,20,KY,1639786702,84,19.2833,-81.25,300.15,0.89
482,mazagao,100,RU,1639786703,90,45.4552,41.9741,280.22,2.36
483,mazagao,100,PH,1639786703,71,16.1307,119.7824,300.84,4.57
484,mazagao,100,RU,1639786704,94,69.4128,30.222,270.25,5.58
485,mazagao,13,PE,1639786705,85,-9.0853,-78.5783,292.9,4.22
486,mazagao,40,AU,1639786706,53,-28.7667,114.6,295.38,5.66
487,mazagao,99,BR,1639786706,98,-7.2586,-64.7981,297.16,1.01
488,mazagao,12,AU,1639786707,49,-37.8333,140.7667,294.45,4.33
489,mazagao,8,RU,1639786708,99,65.85,74.4859,236.74,3.42
490,mazagao,70,BR,1639786708,85,-17.3411,-39.2208,298.35,5.17
